task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate,action_2_rate
MountainCar-v0,14,3,0.005747126436781609,0.016380259438204797,-1.0,0.0,0.0,0.0,0.0,0.9979517858688756,-0.4576636056105296,0.010446319443615482,0.046356555074453354,0.012734690440576102,,,,,0.3333333333333333,0.0,0.6666666666666666
MountainCar-v0,15,3,0.005747126436781609,0.020505131881774538,-1.0,0.0,0.0,0.0,0.0,0.996310628436066,-0.10033514599005382,0.007585329793373187,0.04250113169352213,0.013236158972867403,,,,,0.0,0.0,1.0
MountainCar-v0,16,4,0.007662835249042145,0.02377073827027825,-1.0,0.0,0.0,0.0,0.0,0.998999401807958,0.32932552695274353,0.010648273751665773,0.0377883892506361,0.009081808592093737,,,,,0.0,0.0,1.0
MountainCar-v0,17,10,0.019157088122605363,0.016309303836411326,-1.0,0.0,0.0,0.0,0.8,0.9983932347695692,-0.4729821979999542,0.007310720119261803,0.00514573281398043,0.003344815852271062,,,,,0.1,0.0,0.9
MountainCar-v0,18,7,0.013409961685823755,0.017120444249822432,-1.0,0.0,0.0,0.0,0.7142857142857143,0.9982644354517017,-0.3416916174548013,0.007715227513207618,0.008019940062825168,0.0017648218240540981,,,,,0.0,0.0,1.0
MountainCar-v0,19,5,0.009578544061302681,0.017790172553599347,-1.0,0.0,0.0,0.0,0.2,0.9995118651219054,-0.791961669921875,0.013822907389049531,0.04224267527461052,0.004719222983054084,,,,,0.0,0.0,1.0
MountainCar-v0,20,5,0.009578544061302681,0.017054545972754118,-1.0,0.0,0.0,0.0,0.0,0.9996863695342575,-0.7353349208831788,0.008401147075555454,-0.030206291005015373,0.016021484565063613,,,,,1.0,0.0,0.0
MountainCar-v0,21,4,0.007662835249042145,0.019889322580564982,-1.0,0.0,0.0,0.0,0.0,0.9992784671085878,-0.9119966626167297,0.009534178152977822,0.03319383878260851,0.007394118861294059,,,,,0.0,0.0,1.0
MountainCar-v0,22,6,0.011494252873563218,0.02030298453633032,-1.0,0.0,0.0,0.0,0.5,0.9993269879446633,-0.9336319267749786,0.010541524475677378,-0.01875450819109877,0.003316963392505918,,,,,1.0,0.0,0.0
MountainCar-v0,23,4,0.007662835249042145,0.028516940836421343,-1.0,0.0,0.0,0.0,0.75,0.998199619689089,-1.1959489285945892,0.0035379935926444814,-0.008753179397899657,0.020908690610315094,,,,,0.25,0.0,0.75
MountainCar-v0,24,2,0.0038314176245210726,0.02336110775360172,-1.0,0.0,0.0,0.0,0.5,0.9988210035037772,0.3039627969264984,0.01215672492980957,0.024614302441477776,0.000300845131278038,,,,,0.0,0.0,1.0
MountainCar-v0,25,3,0.005747126436781609,0.02120393713255284,-1.0,0.0,0.0,0.0,0.6666666666666666,0.9991261791428397,-0.054348425939679146,0.02484030839307309,-0.028664108986655872,0.002842016810452151,,,,,1.0,0.0,0.0
MountainCar-v0,26,5,0.009578544061302681,0.01662673721428226,-1.0,0.0,0.0,0.0,0.2,0.9989659981054745,-0.6604800462722779,0.012668579373000335,0.037121403589844705,0.013050007170282308,,,,,0.0,0.0,1.0
MountainCar-v0,27,3,0.005747126436781609,0.01712174623284175,-1.0,0.0,0.0,0.0,0.0,0.998512179724026,-0.3643819789091746,0.0049151758883892015,0.04748471329609553,0.011430230708430045,,,,,0.0,0.0,1.0
MountainCar-v0,28,10,0.019157088122605363,0.02164669193480461,-1.0,0.0,0.0,0.0,0.6,0.9995389307978384,-1.0104601800441741,0.005583914174136861,-0.012957328665652312,0.014790729465369289,,,,,0.8,0.0,0.2
MountainCar-v0,29,0,0.0,nan,nan,nan,nan,nan,0.0,0.9974346110493528,nan,nan,nan,nan,,,,,nan,nan,nan
MountainCar-v0,30,0,0.0,nan,nan,nan,nan,nan,0.0,0.9995915189167863,nan,nan,nan,nan,,,,,nan,nan,nan
MountainCar-v0,31,2,0.0038314176245210726,0.016241475528198324,-1.0,0.0,0.0,0.0,0.0,0.997610381292948,-0.5950829088687897,0.0019288361072540283,0.03987451735883951,0.013776286505162716,,,,,0.0,0.0,1.0
MountainCar-v0,32,1,0.0019157088122605363,0.018385595168788547,-1.0,0.0,0.0,0.0,0.0,0.9979817468874848,-0.2450779229402542,0.0,-0.044174306094646454,0.0,,,,,1.0,0.0,0.0
MountainCar-v0,33,15,0.028735632183908046,0.023425492371575523,-1.0,0.0,0.0,0.0,0.5333333333333333,0.9976584499345145,0.06596236762901148,0.015893006310320233,0.01518941040461262,0.019467801662173063,,,,,0.2,0.0,0.8
MountainCar-v0,34,6,0.011494252873563218,0.01643554382047609,-1.0,0.0,0.0,0.0,0.6666666666666666,0.9986076583298685,-0.44696666300296783,0.006604553419046899,0.0074653530803819495,0.0018851610466452825,,,,,0.0,0.3333333333333333,0.6666666666666666
MountainCar-v0,35,5,0.009578544061302681,0.023009641859186577,-1.0,0.0,0.0,0.0,0.2,0.9985989026157402,0.24578169882297515,0.010769092820708755,0.036813193932175636,0.009526962838039691,,,,,0.0,0.0,1.0
MountainCar-v0,36,5,0.009578544061302681,0.017753934533583773,-1.0,0.0,0.0,0.0,0.2,0.9978978054648117,-0.27518253326416015,0.01507606371278659,0.04424853436648846,0.012401026488389399,,,,,0.0,0.0,1.0
MountainCar-v0,37,5,0.009578544061302681,0.016995996797205787,-1.0,0.0,0.0,0.0,0.4,0.9982125822561632,-0.3822473883628845,0.010180299817944513,-0.01765119656920433,0.0046095523316200294,,,,,1.0,0.0,0.0
MountainCar-v0,38,7,0.013409961685823755,0.02383028899293216,-1.0,0.0,0.0,0.0,0.14285714285714285,0.996556483331253,0.04023571751479592,0.020814788030848633,0.021777572642479624,0.022766508995727696,,,,,0.2857142857142857,0.0,0.7142857142857143
MountainCar-v0,39,3,0.005747126436781609,0.01877146243042157,-1.0,0.0,0.0,0.0,0.0,0.9993277007399216,-0.8515181740125021,0.0032900548255147513,0.0378314641614755,0.006892746945500137,,,,,0.0,0.0,1.0
MountainCar-v0,40,6,0.011494252873563218,0.016318671839963803,-1.0,0.0,0.0,0.0,0.3333333333333333,0.9985997720799871,-0.5950435996055603,0.0060935182053634416,-0.018799069647987682,0.0096647115868951,,,,,1.0,0.0,0.0
