task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,50,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.35402331984858987,0.17400155493484004,6.661338147750939e-16
CartPole-v1,50,8.0,kahkm_nlms,kahkm_association,1,0.3894562484625011,0.44311142743184095,0.05584176626228351
CartPole-v1,50,8.0,kahkm_nlms,kahkm_association,10,0.3424895566005197,0.5107720619278198,0.01833151033986509
CartPole-v1,50,8.0,kahkm_nlms,kahkm_association,20,0.40203809681342273,0.42693139624833065,0.010263660661938843
CartPole-v1,50,8.0,kahkm_nlms,kahkm_association,5,0.3976783547292173,0.4314155487561514,0.02317683924602323
CartPole-v1,50,8.0,kahkm_nlms,kahkm_association,50,0.5068558158042269,0.27938505360263,0.012665174774874645
CartPole-v1,50,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.38508820928755133,0.4493573436564815,8.881784197001252e-16
CartPole-v1,50,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.34363328859721515,0.5091383021951014,7.771561172376096e-16
CartPole-v1,50,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.40289532651381416,0.4257094935694765,6.661338147750939e-16
CartPole-v1,50,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.3968848083515285,0.43255012931938563,7.771561172376096e-16
CartPole-v1,50,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.5064937487453766,0.279899817221928,8.881784197001252e-16
CartPole-v1,50,12.0,kahkm_nlms,kahkm_association,1,0.4137527561480157,0.4781256474590475,0.086654078153222
CartPole-v1,50,12.0,kahkm_nlms,kahkm_association,10,0.340069505647955,0.571513802328397,0.04611680701306605
CartPole-v1,50,12.0,kahkm_nlms,kahkm_association,20,0.3828469484117865,0.5184327139328132,0.02966861456164133
CartPole-v1,50,12.0,kahkm_nlms,kahkm_association,5,0.4253024210054762,0.46365559354793207,0.06690255363492967
CartPole-v1,50,12.0,kahkm_nlms,kahkm_association,50,0.47615003999866523,0.401836019403895,0.020106330628660317
CartPole-v1,50,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.40707224586266716,0.486551904270645,1.1102230246251565e-15
CartPole-v1,50,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.34095858474301144,0.570393566275052,8.881784197001252e-16
CartPole-v1,50,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.3834954855964078,0.5176169459262838,1.1102230246251565e-15
